Date,Time,Detail,Location,Recommend,AnnounceBy,Province,ProvinceEn,Update
27 มีนาคม - 10 เมษายน 2563,,,ซอยบางลา ต.ป่าตอง อ.กะทู้,,สำนักงานสาธารณสุขจังหวัดภูเก็ต 27 มีนาคม 2563,ภูเก็ต,Phuket,2020-04-08 11:58:58
29 มีนาคม 2563,07.55 น.,,ผู้โดยสารสายการบินนกแอร์ เที่ยวบินที่ DD7103 เส้นทางหาดใหญ่ - ดอนเมือง เลขที่นั่ง 34A (ติดตามผู้สัมผัสใกล้ชิด 2 แถวหน้า-หลังครบแล้ว เว้นที่นั่ง 34A),,สำนักงานสาธารณสุขจังหวัดสงขลา  4 เมษายน 2563,สงขลา,Songkhla,2020-04-08 06:37:16
"29 มีนาคม 2563 , 30 มีนาคม 2563","12.34 น. , 06.00 น.",,ผู้โดยสารสายการบินไทย เที่ยวบิน TG911 เส้นทาง ประเทศอังกฤษ - สุวรรณภูมิ เลขที่นั่ง 45K 44H 44K 45H,,สำนักงานสาธารณสุขจังหวัดปราจีนนบุรี 4 เมษายน 2563,ปราจีนบุรี,Prachinburi,2020-04-08 06:11:43
28-29 มีนาคม 2563,"09.25 น. , 15.51 น.",,ผู้โดยสารสายการบินไทย เที่ยวบิน TG917 เส้นทาง สหราชอาณาจักร (ลอนดอนฮีทโธรว์) - สุวรรณภูมิ ระบุที่นั่งไม่ได้ 2 ที่นั่ง,,สำนักงานสาธารณสุขจังหวัดนนทบุรี 2 เมษายน 2563,นนทบุรี,Nonthaburi,2020-04-03 13:50:21
27-28 มีนาคม 2563,"09.25 น. , 15.52 น.",,ผู้โดยสารสายการบินไทย เที่ยวบิน TG917 เส้นทาง สหราชอาณาจักร (ลอนดอนฮีทโธรว์) - สุวรรณภูมิ ที่นั่ง 4D,,สำนักงานสาธารณสุขจังหวัดนนทบุรี 2 เมษายน 2563,นนทบุรี,Nonthaburi,2020-04-03 13:47:54
30 มีนาคม 2563,14.30 น.,,ผู้โดยสารรถตู้ คันที่ 17 ทะเบียน 10-0251 จากสถานีขนส่งอุบลราชธานี - อำนาจเจริญ (ทุกคน),,คณะกรรมการโรคติดต่อจังหวัดอำนาจเจริญ 1 เมษายน 2563,อำนาจเจริญ,Amnat Charoen,2020-04-03 13:38:42
30 มีนาคม 2563,12.20 น.,,ผู้ที่เดินทางสายการบิน ไทยสไมล์ เที่ยวบิน WE024 เส้นทาง สุวรรณภูมิ - อุบลราชธานี แถวที่ 46-50,,คณะกรรมการโรคติดต่อจังหวัดอำนาจเจริญ 1 เมษายน 2563,อำนาจเจริญ,Amnat Charoen,2020-04-03 13:36:39
28 มีนาคม 2563,17.00 น.,,ผู้ที่เดินทางสายการบิน KLM เที่ยวบินที่ 0875 เส้นทาง อัมสเตอร์อัม - สุวรรณภูมิ แถวที่ 20-24,,คณะกรรมการโรคติดต่อจังหวัดอำนาจเจริญ 1 เมษายน 2563,อำนาจเจริญ,Amnat Charoen,2020-04-03 13:33:17
30 มีนาคม 2563,12.20 น.,,ผู้ที่เดินทางสายการบิน ไทยสไมล์ เที่ยวบิน WE024 เส้นทาง สุวรรณภูมิ - อุบลราชธานี ทุกแถว (ยกเว้นแถวที่ 46-50),,ศูนย์ปฏิบัติการตอบโต้ภาวะฉุกเฉิน โรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดอุบลราชธานี 1 เมษายน 2563,อุบลราชธานี,Ubon Ratchathani,2020-04-03 13:29:12
28 มีนาคม 2563,17.00 น.,,ผู้ที่เดินทางสายการบิน KLM เที่ยวบินที่ 0875 เส้นทาง อัมสเตอร์อัม - สุวรรณภูมิ ทุกแถว (ยกเว้นแถวที่ 20-24),,ศูนย์ปฏิบัติการตอบโต้ภาวะฉุกเฉิน โรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดอุบลราชธานี 1 เมษายน 2563,อุบลราชธานี,Ubon Ratchathani,2020-04-03 13:26:17
